component	tumor_type	class	name	cluster_id	cluster_name	UMAP1	UMAP2
Bladder-TCC_M10	Bladder-TCC	SBS28	SBS28/SBS9	2	Topo-CanAPOBEC	-0.19009528	0.15221766
Bladder-TCC_M8	Bladder-TCC	SBS92	SBS92	3	Topo-Tr	-1.4546857	0.6939007
Bladder-TCC_M9	Bladder-TCC	Mu3	Mu3	0	Topo-CanD II	5.9704127	1.018409
Bladder-TCC_SBS1	Bladder-TCC	SBS1	SBS1	4	Topo-5mc	-1.0195276	5.270287
Bladder-TCC_SBS13	Bladder-TCC	SBS13	SBS13	2	Topo-CanAPOBEC	-0.8833328	0.6144892
Bladder-TCC_SBS18	Bladder-TCC	SBS18	SBS18	8	Topo-CanD I	5.8488765	1.8567784
Bladder-TCC_SBS2	Bladder-TCC	SBS2	SBS2	2	Topo-CanAPOBEC	-0.404978	0.41958997
Bladder-TCC_SBS5	Bladder-TCC	SBS5	SBS5	2	Topo-CanAPOBEC	-0.5616075	0.5423573
Bladder-TCC_SBS8	Bladder-TCC	SBS4	SBS4	0	Topo-CanD II	6.222307	1.4015777
Bladder-TCC_SBS92	Bladder-TCC	SBS92	SBS92	0	Topo-CanD II	5.993356	2.2787971
Breast-All_Bsig1	Breast-All	SBS16	SBS16	3	Topo-Tr	-4.2381115	3.058415
Breast-All_Bsig10	Breast-All	SBS2	SBS2	2	Topo-CanAPOBEC	0.62433714	0.52453953
Breast-All_Bsig11	Breast-All	SBS41	SBS41	3	Topo-Tr	-4.526776	2.7634935
Breast-All_Bsig12	Breast-All	SBS8	Mu2/SBS8	8	Topo-CanD I	4.2125764	0.06986561
Breast-All_Bsig13	Breast-All	SBS13	SBS13	1	Topo-RepAPOBEC	-3.2127216	2.6028562
Breast-All_Bsig14	Breast-All	SBS3	Mu1:HRD	7	Topo-Rep	-3.2849658	2.9702384
Breast-All_Bsig15	Breast-All	Mu2	Mu2	1	Topo-RepAPOBEC	-2.1045814	3.079111
Breast-All_Bsig16	Breast-All	SBS8	SBS8:HRD	6	Topo-StressD	0.68885195	2.0852826
Breast-All_Bsig17	Breast-All	SBS17b	SBS17b	6	Topo-StressD	2.5347862	0.9445227
Breast-All_Bsig18	Breast-All	Mu4	Mu4	4	Topo-5mc	-1.3110372	4.8425555
Breast-All_Bsig2	Breast-All	Mu7	Mu5	7	Topo-Rep	-1.714781	4.5429163
Breast-All_Bsig3	Breast-All	SBS2	SBS2/SBS13	1	Topo-RepAPOBEC	-3.2740488	2.6879544
Breast-All_Bsig4	Breast-All	SBS35	SBS31	6	Topo-StressD	1.6051587	1.7868365
Breast-All_Bsig5	Breast-All	SBS1	SBS1	4	Topo-5mc	-1.2671394	6.4574847
Breast-All_Bsig6	Breast-All	SBS30	SBS30	2	Topo-CanAPOBEC	0.4882101	0.6896323
Breast-All_Bsig7	Breast-All	SBS18	SBS18	6	Topo-StressD	-0.8624443	6.512374
Breast-All_Bsig8	Breast-All	SBS34	SBS34	3	Topo-Tr	-3.5995276	1.8405441
Breast-All_Bsig9	Breast-All	SBS5	SBS16:no strand bias	7	Topo-Rep	-0.13022828	3.2264938
Cervix-All_M5	Cervix-All	Mu3	Mu3	6	Topo-StressD	1.7008011	0.4390958
